Options:
Model:                           Discrete: Dependent
Tree File Name:                  tutorial_tree.nex
Data File Name:                  tutorial_traits_load.tsv
Log File Name:                   tutorial_bayestraits_output_log_load.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1570777294
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         100000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      tutorial_bayestraits_output_model.bin
Estimating values for taxa and Sites
	t100                
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior exp (0.00,1.00) 
        q13 - Hyper Prior exp (0.00,1.00) 
        q21 - Hyper Prior exp (0.00,1.00) 
        q24 - Hyper Prior exp (0.00,1.00) 
        q31 - Hyper Prior exp (0.00,1.00) 
        q34 - Hyper Prior exp (0.00,1.00) 
        q42 - Hyper Prior exp (0.00,1.00) 
        q43 - Hyper Prior exp (0.00,1.00) 
Tree Information
     Trees:                      1
     Taxa:                       500
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est t100 - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Mean	q13 - Mean	q21 - Mean	q24 - Mean	q31 - Mean	q34 - Mean	q42 - Mean	q43 - Mean	
161000	-465.286076	1	834	0.521017	0.059854	0.521017	0.521017	0.521017	0.521017	0.521017	0.000000	1	0.239953	0.250555	0.248672	0.260820	0.717917	0.348072	0.394526	0.380765	0.198351	0.595278	0.462592	0.223638	
162000	-464.381577	1	857	0.621899	0.082937	0.621899	0.621899	0.621899	0.621899	0.621899	0.000000	1	0.246370	0.250062	0.249741	0.253828	0.261749	0.414344	0.296830	0.254615	0.045083	0.931098	0.197680	0.382415	
163000	-464.465046	1	200	0.550376	0.044815	0.550376	0.550376	0.550376	0.550376	0.550376	0.000000	1	0.242594	0.250196	0.249698	0.257512	0.293701	0.735110	0.519992	0.611167	0.138689	0.389333	0.248617	0.261452	
164000	-464.931437	1	234	0.578585	0.000000	0.578585	0.578585	0.578585	0.578585	0.578585	0.029254	1	0.228602	0.249889	0.250114	0.271395	0.934517	0.553810	0.889025	0.532637	0.842041	0.322322	0.160038	0.949784	
165000	-464.338887	1	50	0.620898	0.013579	0.620898	0.620898	0.013579	0.620898	0.620898	0.013579	1	0.250262	0.258938	0.224053	0.266747	0.721209	0.210314	0.270269	0.832657	0.243000	0.678613	0.597122	0.412617	
166000	-464.704306	1	760	0.719904	0.084793	0.719904	0.719904	0.719904	0.719904	0.719904	0.000000	1	0.248661	0.249997	0.249959	0.251383	0.804228	0.999127	0.535181	0.066258	0.251152	0.983375	0.381880	0.805686	
167000	-463.951036	1	446	0.643809	0.069297	0.643809	0.643809	0.643809	0.643809	0.643809	0.000000	1	0.247147	0.250027	0.249884	0.252942	0.697070	0.094723	0.334297	0.018266	0.763077	0.799796	0.043908	0.132850	
168000	-465.469073	1	994	0.666312	0.000000	0.666312	0.666312	0.026416	0.666312	0.666312	0.026416	1	0.248666	0.254677	0.236509	0.260149	0.387787	0.064516	0.139844	0.465330	0.864343	0.783802	0.695749	0.173847	
169000	-464.079606	1	421	0.586891	0.036821	0.586891	0.586891	0.586891	0.586891	0.586891	0.000000	1	0.244890	0.250003	0.250165	0.254942	0.105629	0.002951	0.085392	0.720963	0.916168	0.836887	0.895504	0.547174	
170000	-466.063694	1	473	0.670338	0.051172	0.670338	0.670338	0.670338	0.670338	0.670338	0.000000	0	0.248156	0.249999	0.250023	0.251822	0.784048	0.620131	0.803675	0.813176	0.953272	0.833493	0.769670	0.112899	
171000	-464.912119	1	557	0.749347	0.029543	0.749347	0.749347	0.749347	0.029543	0.749347	0.000000	1	0.253381	0.260121	0.220228	0.266271	0.998287	0.720535	0.586552	0.971859	0.181596	0.111442	0.329012	0.767344	
172000	-463.923480	1	334	0.686872	0.045606	0.686872	0.686872	0.686872	0.686872	0.686872	0.000000	1	0.248171	0.249987	0.250040	0.251802	0.810514	0.151319	0.747582	0.519370	0.624414	0.066053	0.252523	0.849521	
173000	-463.862138	1	237	0.669491	0.042010	0.669491	0.669491	0.669491	0.669491	0.669491	0.000000	1	0.247818	0.249982	0.250069	0.252131	0.920882	0.360910	0.654448	0.705073	0.360044	0.863173	0.401105	0.380952	
174000	-464.179177	1	317	0.718123	0.056834	0.718123	0.718123	0.718123	0.718123	0.718123	0.000000	1	0.248660	0.249993	0.250002	0.251345	0.202564	0.075441	0.753060	0.092759	0.071910	0.853110	0.402625	0.980962	
